Tarih,Hisse_Kodu,Set,Close,Open,High,Low,Volume,USD_TRY,VIX,Gunluk_Getiri
2018-08-17,BIMAS.IS,Train,12.68748378753662,12.68748378753662,12.726135089583876,12.34927973403882,5938684.0,5.85099983215332,12.640000343322754,0.0007621032567926
2018-08-20,BIMAS.IS,Train,12.697142601013184,12.561861604286396,12.784110219868072,12.561861604286396,3460720.0,6.007999897003174,12.489999771118164,0.0007609971322683
2018-08-21,BIMAS.IS,Train,12.697142601013184,12.697142601013184,12.697142601013184,12.697142601013184,0.0,6.098499774932861,12.859999656677246,0.0
2018-08-22,BIMAS.IS,Train,12.697142601013184,12.697142601013184,12.697142601013184,12.697142601013184,0.0,6.079699993133545,12.25,0.0
2018-08-23,BIMAS.IS,Train,12.697142601013184,12.697142601013184,12.697142601013184,12.697142601013184,0.0,6.027999877929688,12.40999984741211,0.0
2018-08-24,BIMAS.IS,Train,12.697142601013184,12.697142601013184,12.697142601013184,12.697142601013184,0.0,6.093800067901611,11.989999771118164,0.0
2018-08-27,BIMAS.IS,Train,12.92905616760254,12.735796737517155,13.218945312730613,12.726133176231912,3647092.0,5.980720043182373,12.15999984741211,0.0181002184705824
2018-08-28,BIMAS.IS,Train,13.537821769714355,12.822761093954451,13.6731027620313,12.784109803135964,7393368.0,6.155230045318604,12.5,0.0460101862395187
2018-08-29,BIMAS.IS,Train,13.895353317260742,13.69243032590134,14.214231671774469,13.605464172148706,5106884.0,6.26609992980957,12.25,0.0260671097118621
2018-08-30,BIMAS.IS,Train,13.895353317260742,13.895353317260742,13.895353317260742,13.895353317260742,0.0,6.473400115966797,13.529999732971191,0.0
2018-08-31,BIMAS.IS,Train,14.020970344543455,14.098272926551688,14.185240542989304,13.692428473199524,4411508.0,6.734099864959717,12.859999656677246,0.008999600136678
2018-09-03,BIMAS.IS,Train,14.20456886291504,13.972658124321924,14.465468812445422,13.962994562525326,3468784.0,6.583799839019775,13.084999799728394,0.013009573103528
2018-09-04,BIMAS.IS,Train,13.97265911102295,14.156255002503032,14.35917801894112,13.760072532105855,4871080.0,6.633699893951416,13.15999984741211,-0.0164611642278655
2018-09-05,BIMAS.IS,Train,13.905014038085938,13.914677598421315,14.117600569845877,13.837373539095182,3265668.0,6.666200160980225,13.90999984741211,-0.0048530022816321
2018-09-06,BIMAS.IS,Train,14.030633926391602,13.827712415300695,14.098274430088573,13.827712415300695,3755832.0,6.58080005645752,14.649999618530272,0.0089935794715854
2018-09-07,BIMAS.IS,Train,14.088611602783203,13.866362981362194,14.252881810110969,13.866362981362194,2793140.0,6.583700180053711,14.880000114440918,0.0041237065546733
2018-09-10,BIMAS.IS,Train,14.146589279174805,14.301197408507193,14.301197408507193,13.972656976741362,3755780.0,6.42170000076294,14.15999984741211,0.004106771410589
2018-09-11,BIMAS.IS,Train,14.175579071044922,14.059623706500355,14.214231842194746,13.934004780555224,3174868.0,6.468299865722656,13.220000267028809,0.0020471456588954
2018-09-12,BIMAS.IS,Train,14.465466499328612,14.204566591517723,14.5331069977311,14.18524094546734,4212712.0,6.434360027313232,13.140000343322754,0.0202434877686564
2018-09-13,BIMAS.IS,Train,14.794012069702148,13.953332249543598,14.94861875111726,13.953332249543598,6951704.0,6.348199844360352,12.369999885559082,0.0224583208956056
2018-09-14,BIMAS.IS,Train,14.610413551330566,14.938955488099651,14.977606786800704,14.533109479475929,3816672.0,6.128699779510498,12.06999969482422,-0.0124879776086117
2018-09-17,BIMAS.IS,Train,14.977605819702148,14.591086959838869,14.987269380979706,14.5331085410784,2703360.0,6.161399841308594,13.68000030517578,0.0248216087877637
2018-09-18,BIMAS.IS,Train,14.987268447875977,14.996930534099535,15.074234596149749,14.90030082514986,2633656.0,6.323299884796143,12.789999961853027,0.0006449303556199
2018-09-19,BIMAS.IS,Train,14.832660675048828,15.093560600501233,15.103224161405992,14.658726899929766,3986896.0,6.39870023727417,11.75,-0.0103695188249536
2018-09-20,BIMAS.IS,Train,15.335134506225586,14.822996754208996,15.335134506225584,14.716704959099513,4583540.0,6.247379779815674,11.800000190734863,0.0333150169931774
2018-09-21,BIMAS.IS,Train,15.49940586090088,15.431765354572685,15.50906942228453,15.199854625889596,2995568.0,6.221399784088135,11.68000030517578,0.0106551229162413
2018-09-24,BIMAS.IS,Train,15.257831573486328,15.518732986365718,15.528395073298594,15.064572141399344,4109232.0,6.300930023193359,12.199999809265137,-0.0157087745994605
2018-09-25,BIMAS.IS,Train,15.238508224487305,15.228846136096529,15.460756899812647,15.0549123260831,4510148.0,6.153299808502197,12.420000076293944,-0.0012672571012157
2018-09-26,BIMAS.IS,Train,15.422101020812988,15.35445904988702,15.451088751835842,15.170863205965151,2091400.0,6.191999912261963,12.890000343322754,0.0119759518895315
2018-09-27,BIMAS.IS,Train,15.876262664794922,15.402776170795804,15.876262664794924,15.344799225753691,3643988.0,6.107500076293945,12.40999984741211,0.0290234677310174
2018-09-28,BIMAS.IS,Train,15.683002471923828,15.84727268658946,15.866598333999702,15.518732257258192,4941924.0,6.00570011138916,12.119999885559082,-0.0122475987852967
2018-10-01,BIMAS.IS,Train,15.711989402770996,15.557381296995146,15.847270389485738,15.509066448246712,2741696.0,6.044000148773193,12.0,0.0018465963743378
2018-10-02,BIMAS.IS,Train,15.58637523651123,15.518734722603648,15.63469009993845,15.335137356908646,2984440.0,5.937600135803223,12.050000190734863,-0.0080269267846052
2018-10-03,BIMAS.IS,Train,15.75064182281494,15.731316176818506,15.895586379466613,15.4607527095116,2690084.0,5.987820148468018,11.609999656677246,0.0104839647362191
2018-10-04,BIMAS.IS,Train,16.030868530273438,15.856936229328426,16.040532091193665,15.422102528061128,4887860.0,6.051780223846436,14.220000267028809,0.0176350316091012
2018-10-05,BIMAS.IS,Train,15.625021934509276,15.847270535692967,15.93423667446163,15.567045000147566,4398896.0,6.185500144958496,14.81999969482422,-0.0256425472753011
2018-10-08,BIMAS.IS,Train,15.480077743530272,15.451088538455522,15.547718239069884,15.296481902143874,3080488.0,6.163899898529053,15.6899995803833,-0.0093197090892255
2018-10-09,BIMAS.IS,Train,15.451091766357422,15.46075532821857,15.538059399750168,14.861651354140603,8001812.0,6.117899894714356,15.949999809265137,-0.0018742250045574
2018-10-10,BIMAS.IS,Train,15.093558311462402,15.441425808944098,15.46075145337038,14.929288122160774,4553380.0,6.105199813842773,22.959999084472656,-0.0234116144257925
2018-10-11,BIMAS.IS,Train,15.460752487182615,15.045244469199131,15.509067338705062,14.919625560350324,5787880.0,6.0802998542785645,24.979999542236328,0.0240366642326229
2018-10-12,BIMAS.IS,Train,15.460752487182615,15.557382190227507,15.769967242035817,15.10322288080697,5226960.0,5.917479991912842,21.309999465942383,0.0
2018-10-15,BIMAS.IS,Train,15.306145668029783,15.499405090476891,15.528394298734431,15.190190309452,3632124.0,5.879899978637695,21.299999237060547,-0.010050289746596
2018-10-16,BIMAS.IS,Train,15.44143009185791,15.267496294873895,15.489744953550549,15.083900410222896,4093188.0,5.780200004577637,17.6200008392334,0.0087997374405609
2018-10-17,BIMAS.IS,Train,15.460752487182615,15.460752487182615,15.557382190227507,15.364122784137724,3012024.0,5.691599845886231,17.399999618530273,0.001250552306035
2018-10-18,BIMAS.IS,Train,15.267497062683104,15.383452441686371,15.528397034053617,15.21918219856069,3670668.0,5.587490081787109,20.059999465942383,-0.0125785214181549
2018-10-19,BIMAS.IS,Train,15.451091766357422,15.209517464354008,15.586374260150851,15.170866165814472,2810944.0,5.635600090026856,19.88999938964844,0.0119534716113246
2018-10-22,BIMAS.IS,Train,15.55738639831543,15.54772283561616,15.692667429389283,15.364126939951262,2854508.0,5.650700092315674,19.63999938964844,0.006855870045605
2018-10-23,BIMAS.IS,Train,15.615363121032717,15.460754981437344,15.65401441870531,15.22884424649678,4671860.0,5.665900230407715,20.709999084472656,0.0037197097118177
2018-10-24,BIMAS.IS,Train,15.847271919250488,15.615361212652138,15.856935479713885,15.509067945364045,2877708.0,5.747220039367676,25.229999542236328,0.0147421217561845
2018-10-25,BIMAS.IS,Train,16.021207809448242,15.760307861339312,16.021207809448242,15.567048422080472,3466872.0,5.700769901275635,24.21999931335449,0.0109159657965466
2018-10-26,BIMAS.IS,Train,15.44143009185791,15.963230008357383,15.963230008357383,15.422104442071369,4276172.0,5.635600090026856,24.15999984741211,-0.0368591698093588
2018-10-29,BIMAS.IS,Train,15.44143009185791,15.44143009185791,15.44143009185791,15.44143009185791,0.0,5.589399814605713,24.700000762939453,0.0
2018-10-30,BIMAS.IS,Train,15.44143009185791,15.267496294873895,15.586374676935826,14.996932774504604,6005836.0,5.559619903564453,23.350000381469727,0.0
2018-10-31,BIMAS.IS,Train,15.190192222595217,15.46075574298802,15.489744954896636,15.064573287292925,5363516.0,5.480899810791016,21.229999542236328,-0.016404191760742
2018-11-01,BIMAS.IS,Train,15.431760787963867,15.248164971624304,15.480075631679751,15.190186569384432,3960504.0,5.584000110626221,19.34000015258789,0.0157778033677937
